,Rk,Tm,G,PA,Yds,Ply,Y/P,TO,FL,1stD,Cmp,Att,Yds_1,TD,Int,NY/A,1stD_1,Att_1,Yds_2,TD_1,Y/A,1stD_2,Pen,Yds_3,1stPy,Sc%,TO%,EXP
0,1.0,San Francisco 49ers,9.0,143.0,2741.0,553.0,5.0,17.0,4.0,167.0,230.0,344.0,1993.0,10.0,13.0,5.4,98.0,186.0,748.0,4.0,4.0,49.0,57.0,475.0,20.0,32.3,18.3,30.34
1,2.0,Kansas City Chiefs,9.0,143.0,2594.0,543.0,4.8,13.0,8.0,159.0,176.0,290.0,1584.0,12.0,5.0,4.9,90.0,222.0,1010.0,3.0,4.5,52.0,42.0,355.0,17.0,25.5,13.8,30.25
2,3.0,Baltimore Ravens,10.0,157.0,2736.0,654.0,4.2,15.0,5.0,173.0,222.0,371.0,1731.0,7.0,10.0,4.2,96.0,244.0,1005.0,4.0,4.1,55.0,62.0,477.0,22.0,28.7,10.4,79.19
3,4.0,Dallas Cowboys,9.0,165.0,2476.0,519.0,4.8,14.0,4.0,150.0,151.0,252.0,1494.0,13.0,10.0,5.4,74.0,241.0,982.0,7.0,4.1,51.0,56.0,472.0,25.0,29.3,14.1,40.58
4,5.0,Cleveland Browns,9.0,170.0,2184.0,482.0,4.5,15.0,6.0,113.0,131.0,236.0,1360.0,9.0,9.0,5.1,62.0,216.0,824.0,9.0,3.8,37.0,63.0,542.0,14.0,22.4,12.9,82.57
5,6.0,New York Jets,9.0,172.0,2770.0,600.0,4.6,15.0,6.0,169.0,179.0,285.0,1524.0,9.0,9.0,4.9,85.0,290.0,1246.0,5.0,4.3,65.0,44.0,381.0,19.0,31.8,12.7,36.78
6,7.0,Tampa Bay Buccaneers,9.0,173.0,3187.0,575.0,5.5,16.0,8.0,179.0,225.0,339.0,2402.0,13.0,8.0,6.6,119.0,211.0,785.0,4.0,3.7,47.0,58.0,482.0,13.0,36.5,16.7,-11.63
7,8.0,Tennessee Titans,9.0,180.0,3042.0,565.0,5.4,7.0,4.0,170.0,195.0,286.0,2047.0,10.0,3.0,6.6,100.0,255.0,995.0,5.0,3.9,52.0,58.0,462.0,18.0,42.6,6.4,-47.0
8,9.0,Pittsburgh Steelers,9.0,182.0,3417.0,610.0,5.6,18.0,8.0,183.0,189.0,322.0,2236.0,12.0,10.0,6.4,106.0,261.0,1181.0,5.0,4.5,57.0,59.0,504.0,20.0,36.3,17.6,1.17
9,10.0,Green Bay Packers,9.0,182.0,2885.0,584.0,4.9,8.0,3.0,181.0,180.0,277.0,1688.0,8.0,5.0,5.7,90.0,286.0,1197.0,9.0,4.2,74.0,55.0,529.0,17.0,37.9,8.4,-20.95
10,11.0,Buffalo Bills,10.0,184.0,3306.0,611.0,5.4,15.0,7.0,190.0,228.0,328.0,2154.0,12.0,8.0,6.0,116.0,250.0,1152.0,6.0,4.6,53.0,66.0,517.0,21.0,34.0,14.2,-10.0
11,12.0,Jacksonville Jaguars,9.0,190.0,3179.0,586.0,5.4,18.0,7.0,167.0,230.0,362.0,2401.0,14.0,11.0,6.3,111.0,206.0,778.0,6.0,3.8,48.0,60.0,585.0,8.0,30.2,16.0,12.06
12,13.0,Houston Texans,9.0,192.0,3060.0,575.0,5.3,12.0,6.0,182.0,221.0,315.0,2218.0,9.0,6.0,6.6,101.0,239.0,842.0,11.0,3.5,61.0,59.0,526.0,20.0,37.8,11.2,-40.05
13,14.0,Cincinnati Bengals,9.0,192.0,3456.0,568.0,6.1,18.0,6.0,197.0,190.0,302.0,2230.0,11.0,12.0,6.9,109.0,243.0,1226.0,9.0,5.0,72.0,46.0,387.0,16.0,36.6,17.8,-38.76
14,15.0,Philadelphia Eagles,9.0,195.0,2910.0,552.0,5.3,11.0,7.0,180.0,241.0,362.0,2313.0,19.0,4.0,5.9,129.0,160.0,597.0,3.0,3.7,33.0,61.0,474.0,18.0,35.2,11.0,-18.58
15,16.0,New Orleans Saints,10.0,198.0,3127.0,619.0,5.1,18.0,6.0,179.0,198.0,337.0,1991.0,13.0,12.0,5.6,99.0,264.0,1136.0,6.0,4.3,56.0,66.0,498.0,24.0,31.9,14.3,19.33
16,17.0,Seattle Seahawks,9.0,201.0,3189.0,618.0,5.2,13.0,7.0,190.0,228.0,343.0,2145.0,12.0,6.0,5.8,111.0,245.0,1044.0,10.0,4.3,60.0,55.0,381.0,19.0,37.6,12.9,-15.34
17,18.0,Detroit Lions,9.0,203.0,2796.0,534.0,5.2,11.0,3.0,174.0,199.0,321.0,2084.0,15.0,8.0,6.1,110.0,192.0,712.0,7.0,3.7,41.0,43.0,359.0,23.0,35.8,11.6,-18.97
18,19.0,Los Angeles Rams,9.0,204.0,3060.0,570.0,5.4,8.0,4.0,182.0,180.0,289.0,1955.0,9.0,4.0,6.3,100.0,262.0,1105.0,10.0,4.2,64.0,56.0,466.0,18.0,40.6,8.3,-33.87
19,20.0,Las Vegas Raiders,10.0,205.0,3343.0,643.0,5.2,11.0,2.0,200.0,216.0,321.0,1987.0,11.0,9.0,5.7,106.0,296.0,1356.0,10.0,4.6,75.0,62.0,545.0,19.0,37.5,10.6,-31.9
20,21.0,Minnesota Vikings,10.0,209.0,3232.0,647.0,5.0,14.0,5.0,192.0,244.0,354.0,2244.0,14.0,9.0,5.9,117.0,266.0,988.0,7.0,3.7,65.0,76.0,625.0,10.0,34.9,12.8,-3.97
21,22.0,Los Angeles Chargers,9.0,215.0,3539.0,604.0,5.9,15.0,9.0,205.0,238.0,349.0,2621.0,14.0,6.0,6.9,127.0,224.0,918.0,11.0,4.1,54.0,64.0,473.0,24.0,39.4,14.1,-64.17
22,23.0,Atlanta Falcons,10.0,217.0,3088.0,620.0,5.0,10.0,5.0,182.0,203.0,323.0,2004.0,17.0,5.0,5.8,107.0,276.0,1084.0,4.0,3.9,55.0,67.0,550.0,20.0,36.8,8.8,-0.07
23,24.0,Miami Dolphins,9.0,225.0,2902.0,573.0,5.1,9.0,5.0,184.0,207.0,299.0,1946.0,14.0,4.0,5.9,99.0,245.0,956.0,9.0,3.9,68.0,47.0,349.0,17.0,35.7,9.2,-19.35
24,25.0,New England Patriots,10.0,238.0,3265.0,657.0,5.0,10.0,4.0,194.0,233.0,352.0,2288.0,12.0,6.0,6.2,120.0,287.0,977.0,9.0,3.4,57.0,57.0,405.0,17.0,36.3,8.8,-22.31
25,26.0,Carolina Panthers,9.0,242.0,2775.0,545.0,5.1,7.0,2.0,177.0,166.0,253.0,1588.0,11.0,5.0,5.9,92.0,275.0,1187.0,15.0,4.3,71.0,54.0,393.0,14.0,39.8,6.1,-33.78
26,27.0,Denver Broncos,9.0,248.0,3616.0,564.0,6.4,16.0,7.0,200.0,210.0,291.0,2191.0,17.0,9.0,7.1,110.0,256.0,1425.0,10.0,5.6,69.0,67.0,626.0,21.0,45.7,14.9,-94.9
27,28.0,Indianapolis Colts,10.0,248.0,3585.0,695.0,5.2,16.0,5.0,207.0,224.0,347.0,2288.0,10.0,11.0,6.1,108.0,318.0,1297.0,15.0,4.1,80.0,52.0,446.0,19.0,37.6,12.8,-9.48
28,29.0,Chicago Bears,10.0,255.0,3242.0,616.0,5.3,9.0,3.0,187.0,252.0,367.0,2482.0,20.0,6.0,6.5,125.0,236.0,760.0,4.0,3.2,47.0,42.0,346.0,15.0,40.4,8.7,-51.82
29,30.0,Arizona Cardinals,10.0,263.0,3426.0,648.0,5.3,10.0,5.0,223.0,208.0,301.0,2084.0,15.0,5.0,6.3,112.0,319.0,1342.0,14.0,4.2,88.0,65.0,557.0,23.0,43.9,7.5,-75.8
30,31.0,New York Giants,10.0,266.0,3685.0,622.0,5.9,10.0,4.0,198.0,203.0,326.0,2373.0,13.0,6.0,7.0,109.0,281.0,1312.0,16.0,4.7,70.0,72.0,604.0,19.0,36.8,8.5,-45.5
31,32.0,Washington Commanders,10.0,274.0,3809.0,659.0,5.8,13.0,7.0,202.0,229.0,365.0,2643.0,21.0,6.0,6.8,124.0,268.0,1166.0,6.0,4.4,63.0,61.0,506.0,15.0,45.1,10.6,-61.38
